INVMT_TYPE_CD,INVMT_TYPE_DESC
01,GNMA I
02,GNMA II
03,FNMA
04,FHLMC
05,CR. CD. RECVBL
07,AUTO LOAN
08,CMO
09,OTHER ASSET BKD
10,GOVT. ISSUE
15,COMPONENT 0%
20,MUNICIPALS
30,CORP. BONDS
32,CONVERT. BNDS
41,COMMON STOCK
42,PREFERRED STOCK
43,DEPOSITORY RCPTS
44,LTD. PARTNERSP UNITS
45,MUTUAL FUND
46,REAL ESTATE
47,RIGHTS
90,NON-SEC. ASSET
91,NON-SEC. ASSET-STK
48,SHARES BENEFL INTR
SF,STIF-TYPE INSTRUMENT
ST,SHORT TERM
FC,FGN-SEC. ASSET-STK
GI,GUARANTEED INS
56,COMMODITY SWAPS
BL,BANK LOANS
FW,FORWARDS
SP,SPOT FX
L,LONG TERM SECURITY
49,WARRANTS
51,INTEREST RATE SWAP
52,CURRENCY SWAP
53,CREDIT DEFAULT SWAP
54,TOTAL RETURN BOND SWAP
55,TOTAL RETURN EQUITY SWAP
61,OP-EQUITY
62,OP-FIXED INCOME
63,OP-FOREIGN CURR
64,OP-FUTURE
65,OP-INDEX
70,FUTURES
71,FUTURES-EQUITY
72,FUTURES-FIXED INC
73,FUTURES-FGN CURR
74,FUTURES-COMMODITY
75,FUTURES-INDEX
80,BOND UNIT
81,COMMON STK UNIT
LT,LONG TERM
